timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:53.850,Msg1_PRACH,20014,2001,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.880,Msg1_PRACH,20174,2017,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.911,Msg1_PRACH,20334,2033,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:53.980,Msg1_PRACH,20494,2049,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.010,Msg1_PRACH,20654,2065,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.041,Msg1_PRACH,20814,2081,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.110,Msg1_PRACH,20974,2097,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.141,Msg1_PRACH,21134,2113,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.171,Msg1_PRACH,21294,2129,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.241,Msg1_PRACH,21454,2145,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.271,Msg1_PRACH,21614,2161,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.302,Msg1_PRACH,21774,2177,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.371,Msg1_PRACH,21934,2193,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.402,Msg1_PRACH,22094,2209,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.432,Msg1_PRACH,22254,2225,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.502,Msg1_PRACH,22414,2241,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.532,Msg1_PRACH,22574,2257,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.563,Msg1_PRACH,22734,2273,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.632,Msg1_PRACH,22894,2289,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.663,Msg1_PRACH,23054,2305,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.693,Msg1_PRACH,23214,2321,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.762,Msg1_PRACH,23374,2337,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.793,Msg1_PRACH,23534,2353,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.823,Msg1_PRACH,23694,2369,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.893,Msg1_PRACH,23854,2385,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.923,Msg1_PRACH,24014,2401,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:54.954,Msg1_PRACH,24174,2417,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.023,Msg1_PRACH,24334,2433,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.054,Msg1_PRACH,24494,2449,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.084,Msg1_PRACH,24654,2465,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.154,Msg1_PRACH,24814,2481,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.184,Msg1_PRACH,24974,2497,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.215,Msg1_PRACH,25134,2513,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.284,Msg1_PRACH,25294,2529,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.315,Msg1_PRACH,25454,2545,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.345,Msg1_PRACH,25614,2561,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.415,Msg1_PRACH,25774,2577,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.445,Msg1_PRACH,25934,2593,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.476,Msg1_PRACH,26094,2609,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.545,Msg1_PRACH,26254,2625,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.576,Msg1_PRACH,26414,2641,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.606,Msg1_PRACH,26574,2657,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.676,Msg1_PRACH,26734,2673,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.706,Msg1_PRACH,26894,2689,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.736,Msg1_PRACH,27054,2705,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.806,Msg1_PRACH,27214,2721,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.836,Msg1_PRACH,27374,2737,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:55.867,Msg1_PRACH,27534,2753,4,0x0039,0,40.0,0,transmitted
